"","x.vals","y.vals"
"1",0,0
"2",0.104477611940299,0.132663316582915
"3",0.114427860696517,0.334673366834171
"4",0.134328358208955,0.396984924623116
"5",0.174129353233831,0.496482412060302
"6",0.17910447761194,0.508542713567839
"7",0.303482587064677,0.742713567839196
"8",0.308457711442786,0.744723618090452
"9",0.343283582089552,0.781909547738693
"10",0.348258706467662,0.786934673366834
"11",0.353233830845771,0.790954773869347
"12",0.447761194029851,0.873366834170854
"13",0.572139303482587,0.952763819095477
"14",0.587064676616915,0.959798994974874
"15",0.631840796019901,0.975879396984925
"16",0.741293532338308,0.990954773869347
"17",0.756218905472637,0.991959798994975
"18",0.776119402985075,0.992964824120603
"19",0.970149253731343,1
"20",1,1
